# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000548005809616461
512 0.5 0.000548997942575216
1024 1 0.000582565663188636
1536 1.5 0.000665399300334255
2048 2 0.000731283037280192
2560 2.5 0.000780347504058601
3072 3 0.000816280081302245
3584 3.5 0.000837427809903368
4096 4 0.00085781680717445
4608 4.5 0.000882553826666951
5120 5 0.000901987726432046
5632 5.5 0.00093090741990054
6144 6 0.000980858437495041
6656 6.5 0.00103930558538026
7168 7 0.0010996690550228
7680 7.5 0.00117102521963545
8192 8 0.00123944892488227
8704 8.5 0.00126422196571169
9216 9 0.00127095114107134
9728 9.5 0.00136773907807332
10240 10 0.00146207329522988
10752 10.5 0.00138094862705529
11264 11 0.00138989554878753
11776 11.5 0.00159323466382977
12288 12 0.00160823405692724
12800 12.5 0.00153579058586585
13312 13 0.00170976868110653
13824 13.5 0.00179783172027202
14336 14 0.00172820136051685
14848 14.5 0.00185177220448737
15360 15 0.00198057890476074
15872 15.5 0.00189029278627358
16384 16 0.00199219579843975
16896 16.5 0.00216551559261192
17408 17 0.00201167128063011
17920 17.5 0.00217452508016257
18432 18 0.00228086191633543
18944 18.5 0.00218105849609765
19456 19 0.00235246147143475
19968 19.5 0.00243251434960735
20480 20 0.00239937080105715
20992 20.5 0.00249772517082375
21504 21 0.00261689973986806
22016 21.5 0.00255748841070032
22528 22 0.00271224025122127
23040 22.5 0.00278289439634551
23552 23 0.00274245542791868
24064 23.5 0.00287866945549586
24576 24 0.00293591135332776
25088 24.5 0.00297357872995238
25600 25 0.00302422055108854
26112 25.5 0.00305858594597055
26624 26 0.0031874039441965
27136 26.5 0.00323073073210664
27648 27 0.00321577984314735
28160 27.5 0.00334664884702014
28672 28 0.00343035257156349
29184 28.5 0.0034319771386771
29696 29 0.00350362351194937
30208 29.5 0.00358733600858893
30720 30 0.00363368005248636
31232 30.5 0.00369395238132529
31744 31 0.00374791700052629
32256 31.5 0.00379561877859515
32768 32 0.00385479348343626
33280 32.5 0.00392268836810965
33792 33 0.00397787865480383
34304 33.5 0.00401405168292523
34816 34 0.00406547736866623
35328 34.5 0.00413857856813626
35840 35 0.00419022541169473
36352 35.5 0.00423561633042069
36864 36 0.00429246620626794
37376 36.5 0.00434472212824966
37888 37 0.00439547209716817
38400 37.5 0.00445863364246767
38912 38 0.00450830383135131
39424 38.5 0.0045484037406405
39936 39 0.00461481763897326
40448 39.5 0.00466434546683653
40960 40 0.00470858185565094
41472 40.5 0.00487911664019351
41984 41 0.00509929849807374
42496 41.5 0.00524995133682257
43008 42 0.00549877946365343
43520 42.5 0.00581182920426341
44032 43 0.00604280241791567
44544 43.5 0.00624172279586025
45056 44 0.00644804504264979
